1130708,新杉田,11307,JR根岸線
1130709,洋光台,11307,JR根岸線
1130710,港南台,11307,JR根岸線
1130711,本郷台,11307,JR根岸線
1130712,大船,11307,JR根岸線
1130801,東京,11308,JR横須賀線
1130802,新橋,11308,JR横須賀線
1130803,品川,11308,JR横須賀線
1130804,西大井,11308,JR横須賀線
1130819,武蔵小杉,11308,JR横須賀線
1130805,新川崎,11308,JR横須賀線
1130806,横浜,11308,JR横須賀線
1130807,保土ケ谷,11308,JR横須賀線
1130808,東戸塚,11308,JR横須賀線
1130809,戸塚,11308,JR横須賀線
1130810,大船,11308,JR横須賀線
1130811,北鎌倉,11308,JR横須賀線
1130812,鎌倉,11308,JR横須賀線
1130813,逗子,11308,JR横須賀線
1130814,東逗子,11308,JR横須賀線
1130815,田浦,11308,JR横須賀線
1130816,横須賀,11308,JR横須賀線
1130817,衣笠,11308,JR横須賀線
1130818,久里浜,11308,JR横須賀線
1130901,茅ケ崎,11309,JR相模線
1130902,北茅ケ崎,11309,JR相模線
1130903,香川,11309,JR相模線
1130904,寒川,11309,JR相模線
1130905,宮山,11309,JR相模線
1130906,倉見,11309,JR相模線
1130907,門沢橋,11309,JR相模線
1130908,社家,11309,JR相模線
1130909,厚木,11309,JR相模線
1130910,海老名,11309,JR相模線
1130911,入谷,11309,JR相模線
1130912,相武台下,11309,JR相模線
1130913,下溝,11309,JR相模線
1130914,原当麻,11309,JR相模線
1130915,番田,11309,JR相模線
1130916,上溝,11309,JR相模線
1130917,南橋本,11309,JR相模線
1130918,橋本,11309,JR相模線
1131101,東京,11311,JR中央本線(東京〜塩尻)
1131102,四ツ谷,11311,JR中央本線(東京〜塩尻)
1131103,新宿,11311,JR中央本線(東京〜塩尻)
1131104,吉祥寺,11311,JR中央本線(東京〜塩尻)
1131105,三鷹,11311,JR中央本線(東京〜塩尻)
1131106,国分寺,11311,JR中央本線(東京〜塩尻)
1131107,立川,11311,JR中央本線(東京〜塩尻)
1131108,日野,11311,JR中央本線(東京〜塩尻)
1131109,豊田,11311,JR中央本線(東京〜塩尻)
1131110,八王子,11311,JR中央本線(東京〜塩尻)
1131111,西八王子,11311,JR中央本線(東京〜塩尻)
1131112,高尾,11311,JR中央本線(東京〜塩尻)
1131113,相模湖,11311,JR中央本線(東京〜塩尻)
1131114,藤野,11311,JR中央本線(東京〜塩尻)
1131115,上野原,11311,JR中央本線(東京〜塩尻)
1131116,四方津,11311,JR中央本線(東京〜塩尻)
1131117,梁川,11311,JR中央本線(東京〜塩尻)
1131118,鳥沢,11311,JR中央本線(東京〜塩尻)
1131119,猿橋,11311,JR中央本線(東京〜塩尻)
1131120,大月,11311,JR中央本線(東京〜塩尻)
1131121,初狩,11311,JR中央本線(東京〜塩尻)
1131122,笹子,11311,JR中央本線(東京〜塩尻)
1131123,甲斐大和,11311,JR中央本線(東京〜塩尻)
1131124,勝沼ぶどう郷,11311,JR中央本線(東京〜塩尻)
1131125,塩山,11311,JR中央本線(東京〜塩尻)
1131126,東山梨,11311,JR中央本線(東京〜塩尻)
1131127,山梨市,11311,JR中央本線(東京〜塩尻)
1131128,春日居町,11311,JR中央本線(東京〜塩尻)
1131129,石和温泉,11311,JR中央本線(東京〜塩尻)
1131130,酒折,11311,JR中央本線(東京〜塩尻)
1131131,甲府,11311,JR中央本線(東京〜塩尻)
1131132,竜王,11311,JR中央本線(東京〜塩尻)
1131133,塩崎,11311,JR中央本線(東京〜塩尻)
1131134,韮崎,11311,JR中央本線(東京〜塩尻)
1131135,新府,11311,JR中央本線(東京〜塩尻)
1131136,穴山,11311,JR中央本線(東京〜塩尻)
1131137,日野春,11311,JR中央本線(東京〜塩尻)
1131138,長坂,11311,JR中央本線(東京〜塩尻)
1131139,小淵沢,11311,JR中央本線(東京〜塩尻)
1131140,信濃境,11311,JR中央本線(東京〜塩尻)
1131141,富士見,11311,JR中央本線(東京〜塩尻)
1131142,すずらんの里,11311,JR中央本線(東京〜塩尻)
1131143,青柳,11311,JR中央本線(東京〜塩尻)
1131144,茅野,11311,JR中央本線(東京〜塩尻)
1131145,上諏訪,11311,JR中央本線(東京〜塩尻)
1131146,下諏訪,11311,JR中央本線(東京〜塩尻)
1131147,岡谷,11311,JR中央本線(東京〜塩尻)
1131148,みどり湖,11311,JR中央本線(東京〜塩尻)
1131149,川岸,11311,JR中央本線(東京〜塩尻)
1131150,辰野,11311,JR中央本線(東京〜塩尻)
1131151,信濃川島,11311,JR中央本線(東京〜塩尻)
1131152,小野,11311,JR中央本線(東京〜塩尻)
1131153,塩尻,11311,JR中央本線(東京〜塩尻)
1131201,東京,11312,JR中央線(快速)
1131202,神田,11312,JR中央線(快速)
1131203,御茶ノ水,11312,JR中央線(快速)
1131207,四ツ谷,11312,JR中央線(快速)
1131211,新宿,11312,JR中央線(快速)
1131214,中野,11312,JR中央線(快速)
1131215,高円寺,11312,JR中央線(快速)
1131216,阿佐ケ谷,11312,JR中央線(快速)
1131217,荻窪,11312,JR中央線(快速)
1131218,西荻窪,11312,JR中央線(快速)
1131219,吉祥寺,11312,JR中央線(快速)
1131220,三鷹,11312,JR中央線(快速)
1131221,武蔵境,11312,JR中央線(快速)
1131222,東小金井,11312,JR中央線(快速)
1131223,武蔵小金井,11312,JR中央線(快速)
1131224,国分寺,11312,JR中央線(快速)
1131225,西国分寺,11312,JR中央線(快速)
1131226,国立,11312,JR中央線(快速)
1131227,立川,11312,JR中央線(快速)
1131228,日野,11312,JR中央線(快速)
1131229,豊田,11312,JR中央線(快速)
1131230,八王子,11312,JR中央線(快速)
1131231,西八王子,11312,JR中央線(快速)
1131232,高尾,11312,JR中央線(快速)
1131301,三鷹,11313,JR中央・総武線
1131302,吉祥寺,11313,JR中央・総武線
1131303,西荻窪,11313,JR中央・総武線
1131304,荻窪,11313,JR中央・総武線
1131305,阿佐ケ谷,11313,JR中央・総武線
1131306,高円寺,11313,JR中央・総武線
1131307,中野,11313,JR中央・総武線
1131308,東中野,11313,JR中央・総武線
1131309,大久保,11313,JR中央・総武線
1131310,新宿,11313,JR中央・総武線
1131311,代々木,11313,JR中央・総武線
1131312,千駄ケ谷,11313,JR中央・総武線
1131313,信濃町,11313,JR中央・総武線
1131314,四ツ谷,11313,JR中央・総武線
1131315,市ケ谷,11313,JR中央・総武線
1131316,飯田橋,11313,JR中央・総武線
